,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,75,CL,1644203723,82,-53.15,-70.9167,12.06,4.63
1,Pevek,27,RU,1644203737,98,69.7008,170.3133,-30.76,0.41
2,Pushkinskiye Gory,100,RU,1644203738,98,57.0209,28.9103,0.34,4.78
3,Hermanus,66,ZA,1644203738,92,-34.4187,19.2345,19.33,1.9
4,Butaritari,71,KI,1644203739,76,3.0707,172.7902,27.69,6.9
5,Palana,73,RU,1644203739,74,59.1167,159.9667,-9.11,4.12
6,Lavrentiya,56,RU,1644203711,95,65.5833,-171.0,-26.46,2.32
7,Port Alfred,82,ZA,1644203739,79,-33.5906,26.891,22.74,2.22
8,Husavik,100,IS,1644203740,85,66.0449,-17.3389,-4.05,6.48
9,Rikitea,16,PF,1644203740,72,-23.1203,-134.9692,26.12,8.38
10,East London,0,ZA,1644203740,94,-33.0153,27.9116,21.52,2.06
11,Chokurdakh,79,RU,1644203741,99,70.6333,147.9167,-39.85,1.72
12,Flinders,44,AU,1644203741,70,-34.5833,150.8552,23.43,3.13
13,Bambous Virieux,100,MU,1644203741,81,-20.3428,57.7575,26.23,4.86
14,Mataura,8,NZ,1644203742,34,-46.1927,168.8643,15.82,1.23
15,Cabo San Lucas,20,MX,1644203631,73,22.8909,-109.9124,19.73,0.0
16,Barrow,0,US,1644203474,68,71.2906,-156.7887,-32.99,6.69
17,Hobart,20,AU,1644203703,34,-42.8794,147.3294,26.68,3.6
18,Ushuaia,40,AR,1644203488,67,-54.8,-68.3,15.81,6.69
19,Jamestown,0,US,1644203487,45,42.097,-79.2353,-1.23,4.63
20,Maceió,20,BR,1644203742,88,-9.6658,-35.7353,23.69,2.06
21,New Norfolk,0,AU,1644203447,29,-42.7826,147.0587,25.92,1.34
22,Geraldton,40,AU,1644203744,38,-28.7667,114.6,25.23,7.72
23,Arraial do Cabo,0,BR,1644203654,92,-22.9661,-42.0278,24.09,8.38
24,Vaini,100,TO,1644203704,100,-21.2,-175.2,24.09,2.06
25,Dikson,100,RU,1644203744,97,73.5069,80.5464,-25.03,7.3
26,Haines Junction,32,CA,1644203745,38,60.7522,-137.5108,4.97,4.63
27,Suihua,96,CN,1644203745,85,46.6406,126.9969,-13.11,2.98
28,Baykit,49,RU,1644203745,99,61.67,96.37,-21.51,1.33
29,Mayo,100,US,1644203746,66,38.8876,-76.5119,1.25,0.45
30,Severo-Kuril'sk,100,RU,1644203746,83,50.6789,156.125,-0.28,4.5
31,Constitución,0,CL,1644203464,80,-35.3333,-72.4167,14.33,1.83
32,Buraidah,0,SA,1644203746,48,26.326,43.975,6.25,2.65
33,Mayumba,63,GA,1644203747,92,-3.432,10.6554,24.54,3.7
34,Erzin,0,TR,1644203510,73,36.9559,36.2,1.4,1.74
35,Cape Town,50,ZA,1644203470,86,-33.9258,18.4232,17.93,0.45
36,Gwembe,93,ZM,1644203747,95,-16.4975,27.6069,16.34,1.7
37,Albany,10,US,1644203706,76,42.6001,-73.9662,-5.94,1.87
38,Yellowknife,20,CA,1644203748,91,62.456,-114.3525,-19.77,1.54
39,Carnarvon,6,AU,1644203748,48,-24.8667,113.6333,24.6,9.43
40,Khatanga,99,RU,1644203749,98,71.9667,102.5,-27.26,4.29
41,Teknāf,14,BD,1644203749,49,20.8624,92.3058,19.67,3.02
42,Aksarka,96,RU,1644203749,100,66.5606,67.7975,-25.9,3.03
43,Berlevåg,60,NO,1644203749,85,70.8578,29.0864,-6.72,9.26
44,Ahipara,97,NZ,1644203750,96,-35.1667,173.1667,23.95,2.76
45,Busselton,70,AU,1644203750,51,-33.65,115.3333,20.6,8.96
